stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
355,9620,ELLESMERE RD AT WEST SERVICE RD,,43.76645,-79.278665,,,,
356,12185,ELMHURST DR AT HAREFIELD DR,,43.727871,-79.56916,,,,
357,11107,ERSKINE AVE AT MT PLEASANT RD WEST SIDE,,43.712506,-79.392504,,,,
358,6375,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,,43.648271,-79.37048,,,,
359,2435,EVANS AVE AT BROWNS LINE,,43.610776,-79.54899,,,,
362,11202,FARNBORO RD AT ATTWELL DR EAST SIDE,,43.691581,-79.586891,,,,
363,9910,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,,43.8155,-79.231904,,,,
364,9909,FINCH AVE EAST AT NEILSON RD WEST SIDE,,43.816209,-79.228498,,,,
365,9912,FINCH AVE EAST AT YONGE ST EAST SIDE,,43.779839,-79.414795,,,,
366,4750,AIRPORT RD AT BEVERLEY ST,,43.707599,-79.647721,,,,
367,4752,AIRPORT RD AT BRESLER DR WEST SIDE,,43.685993,-79.607576,,,,
368,4753,AIRPORT RD AT BRESLER DR,,43.686077,-79.606402,,,,
369,4768,AIRPORT RD AT VICTORY CRES,,43.707594,-79.647222,,,,
370,6222,ALBION RD AT ELMHURST DR,,43.725046,-79.550305,,,,
371,13427,ALBION RD AT HUMBERLINE DR,,43.746916,-79.621668,,,,
372,6228,ALBION RD AT ISLINGTON AVE,,43.737279,-79.565043,,,,
373,10213,740 ANNETTE ST (ST JAMES CHURCH),,43.658672,-79.486569,,,,
374,10212,OPPOSITE 740 ANNETTE ST (ST JAMES CHURCH),,43.658551,-79.486497,,,,
375,3300,ATTWELL DR AT BELFIELD RD NORTH SIDE,,43.698438,-79.593275,,,,
376,3297,ATTWELL DR AT DISCO RD,,43.701007,-79.594881,,,,
377,3299,ATTWELL DR AT MARMAC DR SOUTH SIDE,,43.695246,-79.589502,,,,
378,9304,ATTWELL DR AT MCLACHLAN DR,,43.693659,-79.58875,,,,
379,14093,AUKLAND RD AT DUNDAS ST WEST,,43.63896,-79.539193,,,,
380,4773,AVENUE RD AT EGLINTON AVE WEST,,43.704831,-79.408686,,,,
381,11238,AVENUE RD AT OLD ORCHARD GROVE,,43.73185,-79.419417,,,,
382,11936,AVENUE RD AT WILSON AVE SOUTH SIDE,,43.739398,-79.421547,,,,
384,134,BATHURST ST AT ELM RIDGE DR,,43.705333,-79.426409,,,,
386,143,BATHURST ST AT GLENCAIRN AVE,,43.712236,-79.427984,,,,
388,204,BATHURST ST AT ST CLAIR AVE WEST,,43.683305,-79.418429,,,,
390,9719,BATHURST ST AT STEELES AVE WEST,,43.792044,-79.445505,,,,
394,9122,BAYVIEW AVE AT VALLYANNA DR,,43.724199,-79.379441,,,,
395,3325,BELFIELD RD AT BROCKPORT DR WEST SIDE,,43.698939,-79.588827,,,,
396,3326,BELFIELD RD AT BROCKPORT DR,,43.698817,-79.588566,,,,
397,11091,BERRY RD AT PARK LAWN RD,,43.635922,-79.494082,,,,
398,1740,BIRCHMOUNT RD AT FINCH AVE EAST,,43.799188,-79.306203,,,,
399,7549,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,,43.699759,-79.265226,,,,
400,7550,BIRCHMOUNT RD AT HIGHVIEW AVE,,43.699574,-79.264955,,,,
401,9720,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,,43.820919,-79.316796,,,,
402,10770,BLOOR ST WEST AT CONCORD AVE,,43.661638,-79.426936,,,,
403,526,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,,43.644591,-79.524154,,,,
404,11999,BLOOR ST WEST AT ISLINGTON AVE,,43.644836,-79.523125,,,,
405,9952,BLOOR ST WEST AT JANE ST,,43.649126,-79.484672,,,,
406,11396,1388 BLOOR ST WEST,,43.657635,-79.446236,,,,
409,12258,BRENTCLIFFE RD AT VANDERHOOD AVE,,43.712571,-79.358874,,,,
410,11847,BROADVIEW AVE AT DANFORTH AVE SOUTH SIDE,,43.675832,-79.3586,,,,
411,11925,BROADVIEW AVE AT ERINDALE AVE,,43.677376,-79.358623,,,,
412,14314,CHURCH ST AT LOMBARD ST NORTH SIDE,,43.652128,-79.375249,,,,
413,4886,CHURCH ST AT UPHILL AVE (HUMBER RIVER HOSPITAL),,43.708656,-79.508372,,,,
414,1772,CLEVELAND ST AT DAVISVILLE AVE NORTH SIDE,,43.702503,-79.378002,,,,
